BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG,,,,,,,,,,
BR,,,,RQ,RQ,RQ,RQ,(RQ:,FILL ONLY FOR REROUTED CUSTOMERS),-- DO NOT REMOVE THIS ROW --,,,,,,,,,,,,,,,
650,01,01B,01,,,,,6501024,COAL FIRE PIZZA HUNT VALLEY,SHAWAN ROAD,COCKEYSVILLE,21030,06/17/2013,$745.42,$373.58,,,,,,,,,,
650,01,01B,02,,,,,65050465,GREEN LEAF RESTAURANT,YORK ROAD,COCKEYSVILLE,21030,11/02/2004,$312.51,$0.00,,,,,,,,,,
650,01,01B,03,,,,,650982,FUSION,YORK ROAD,COCKEYSVILLE,21030-2121,03/12/2013,$279.69,$0.00,,,,,,,,,,
650,01,01B,04,,,,,650437,VITO'S RESTAURANT,YORK ROAD,COCKEYSVILLE,21030,08/27/2007,$526.76,$136.70,,,,,,,,,,
650,01,01B,05,,,,,6501054,LA TOLTECA COCKEYSVILLE,YORK ROAD,COCKEYSVILLE,21030-3304,09/16/2013,$274.96,$0.00,,,,,,,,,,
650,01,01B,06,,,,,226500031,MISSION BBQ - HUNT VALLEY,"SHAWAN ROAD, STE 103",HUNT VALLEY,21030,12/19/2022,$623.55,$98.45,,,,,,,,,,
650,01,01B,07,,,,,226500027,IZAKAYA 68,SHAWAN ROAD,HUNT VALLEY,21030,09/05/2022,$338.11,$0.00,,,,,,,,,,
650,01,02B,01,,,,,65092638,DING HOW TIMONIUM,TULLAMORE ROAD,TIMONIUM,21093-7816,04/08/1997,$165.00,$0.00,,,,,,,,,,
650,01,02B,02,,,,,166500234,LIBERATORE'S RISTORANTE & CATERING TIMONIUM ,DEERECO ROAD,TIMONIUM,21093-2116,09/20/2016,$644.11,$0.00,,,,,,,,,,
650,01,02B,03,,,,,156500107,ROYAL KITCHEN,YORK ROAD,COCKEYSVILLE,21030-4914,03/26/2015,$118.33,$0.00,,,,,,,,,,
650,01,02B,04,,,,,6501012,NEW LIFE HEALTHY LIVING,CLAYS LANE,WINDSOR MILL ,21244-2003,05/31/2013,$0.00,$0.00,,,,,,,,,,
650,01,03B,01,,,,,176500023,MIKU SUSHI & STEAKHOUSE,CRANBROOK ROAD,COCKEYSVILLE,21030-3702,06/27/2017,$225.00,$0.00,,,,,,,,,,
650,01,03B,02,,,,,65092857,EDO SUSHI TIMONIUM,EAST PADONIA ROAD,TIMONIUM,21093,11/19/1997,$184.26,$0.00,,,,,,,,,,
650,01,03B,03,,,,,156500046,CUVINO,EAST PADONIA ROAD,TIMONIUM,21093-2346,02/23/2015,$597.96,$0.00,,,,,,,,,,
650,01,03B,04,,,,,650466,NAUTILUS DINER,YORK ROAD,TIMONIUM,21093-4230,02/26/2008,$668.43,$9.22,,,,,,,,,,
650,01,03B,05,,,,,216500009,KUNG FU 12 SZECHUAN - TIMONIUM,YORK ROAD,TIMONIUM,21093,02/15/2021,$464.97,$0.00,,,,,,,,,,
650,01,04B,01,,,,,186500025,THAI RAINBOW RESTAURANT,CONCOURSE CIRCLE,MIDDLE RIVER,21220-2995,09/06/2018,$200.48,$9.12,,,,,,,,,,
650,01,04B,02,,,,,166500248,VINCE’S CRAB HOUSE,COMPASS ROAD,MIDDLE RIVER,21220,11/23/2016,$294.63,$10.42,,,,,,,,,,
650,01,04B,03,,,,,650389,KOBE JAPANESE STEAK HOUSE,HONEYGO BOULEVARD,NOTTINGHAM,21236-8208,12/29/2006,$373.37,$0.00,,,,,,,,,,
650,01,04B,04,,,,,196500028,AKIRA RAMEN ,HONEYGO BOULEVARD,WHITE MARSH,21236,09/17/2019,$226.98,$0.00,,,,,,,,,,
650,01,04B,05,,,,,216500016,PHO SAIGON HANOI ,HARFORD ROAD,PARKVILLE,21234-2150,05/20/2021,$315.00,$0.00,,,,,,,,,,
650,01,05B,01,,,,,166500232,LAS ESPERANZAS CAFÉ 2,RITCHIE HIGHWAY,BROOKLYN PARK,21225-3645,09/15/2016,$379.98,$0.00,,,,,,,,,,
650,01,05B,02,,,,,65092646,EL SALTO BALTIMORE,RITCHIE HIGHWAY,BROOKLYN,21225-3470,05/15/1997,$609.69,$27.35,,,,,,,,,,
650,01,05B,03,,,,,186500021,LAS ESPERANZAS CAFE 1,WEST PATAPSCO AVENUE,BALTIMORE,21230,08/02/2018,$220.00,$0.00,,,,,,,,,,
650,01,05B,04,,,,,216500021,WATER SONG ,EAST CROSS STREET,BALTIMORE,21230,06/10/2021,$219.32,$0.00,,,,,,,,,,
650,01,05B,05,,,,,65047430,THAI ARROY,LIGHT STREET,BALTIMORE,21230,09/10/2006,$117.80,$0.00,,,,,,,,,,
650,01,05B,06,,,,,176500031,HERSH'S,LIGHT STREET,BALTIMORE,21230,12/07/2017,$303.70,$36.50,,,,,,,,,,
650,01,05B,07,,,,,196500032,MINDPUB,E. FORT AVE,BALTIMORE,21230,11/20/2019,$205.00,$0.00,,,,,,,,,,
650,01,05B,08,,,,,226500030,AMMOORA RESTAURANT,KEY HIGHWAY,BALTIMORE,21230,10/03/2022,$369.06,$0.00,,,,,,,,,,
650,01,05B,09,,,,,236500010,BE MORE THAI,LIGHT STREET,BALTIMORE,21230,03/06/2023,$264.00,$0.00,,,,,,,,,,
650,01,06B,01,,,,,650643,FRIENDLY'S DUNDALK,MERRITT BOULEVARD,DUNDALK,21222,04/15/2010,$115.31,$43.99,,,,,,,,,,
650,01,06B,02,,,,,6501046,MISSION BBQ CANTON,BOSTON STREET,BALTIMORE,21224,08/15/2013,$458.60,$14.71,,,,,,,,,,
650,01,06B,03,,,,,196500009,AKIRA RAMEN & IZAKAYA,BOSTON STREET,BALTIMORE,21224,03/12/2019,$256.11,$0.00,,,,,,,,,,
650,01,06B,04,,,,,650826,K & D RESTAURANT,EASTERN AVENUE,BALTIMORE ,21224,08/29/2011,$213.85,$8.85,,,,,,,,,,
650,01,06B,05,,,,,196500013,PHO BAC,POTOMAC STREET,BALTIMORE,21224,04/19/2019,$240.76,$0.00,,,,,,,,,,
650,01,06B,06,,,,,196500024,NAKED GRILL SUSHI AND YAKITORI,LIGHTHOUSE POINT EAST,BALTIMORE,21224,08/26/2019,$207.00,$0.00,,,,,,,,,,
650,01,06B,07,,,,,166500075,CHESAPEAKE WINE COMPANY,BOSTON STREET,BALTIMORE,21224,02/29/2016,$205.00,$0.00,,,,,,,,,,
650,01,06B,08,,,,,236500017,SCHOLA,LIGHTHOUSE POINT EAST,BALTIMORE,21224,05/22/2023,$246.00,$0.00,,,,,,,,,,
650,01,07B,01,,,,,650707,PARK BENCH,BELT STREET,BALTIMORE,21230-4707,10/13/2010,$0.00,$0.00,,,,,,,,,,
650,01,07B,02,,,,,156500184,TABRIZI'S,HARBORVIEW DRIVE,BALTIMORE,21230,06/17/2015,$0.00,$0.00,,,,,,,,,,
650,01,07B,03,,,,,650868,PRATT STREET ALE HOUSE,WEST PRATT STREET,BALTIMORE,21201-2426,01/13/2012,$703.70,$253.70,,,,,,,,,,
650,01,07B,04,,,,,650748,SUPANO'S STEAK HOUSE,WATER STREET,BALTIMORE,21202-1001,01/31/2011,$225.00,$0.00,,,,,,,,,,
650,01,07B,05,,,,,166500111,TACO FIESTA,SOUTH EXETER STREET,BALTIMORE,21202,03/04/2016,$355.91,$76.85,,,,,,,,,,
650,01,07B,06,,,,,650479,BLACK OLIVE RESTAURANT,SOUTH BOND STREET,BALTIMORE,21231-3339,05/12/2008,$194.08,$0.00,,,,,,,,,,
650,01,07B,07,,,,,246500007,FLOCK,WASHINGTON BOULEVARD,BALTIMORE,21230-1830,01/25/2024,$106.85,$31.52,,,,,,,,,,
650,01,08B,01,,,,,226500018,AKIRA RAMEN - TOWSON,EAST JOPPA ROAD,TOWSON,21286,07/20/2022,$356.86,$0.00,,,,,,,,,,
650,01,08B,02,,,,,216500041,SWEETGREEN -TOWSON,"E. JOPPA ROAD, SPACE #151",TOWSON,21286,11/30/2021,$699.12,$477.41,,,,,,,,,,
650,01,08B,03,,,,,196500005,NEW GENERATION HOT POT,YORK ROAD,TOWSON,21204-5124,01/23/2019,$478.29,$0.00,,,,,,,,,,
650,01,08B,04,,,,,65050330,GLORY DAYS GRILL - TOWSON,EAST JOPPA ROAD,TOWSON,21286,10/23/2002,$1074.24,$481.07,,,,,,,,,,
650,01,08B,05,,,,,236500020,KUNG FU 12 SUSHI,YORK ROAD,TOWSON,21204,06/19/2023,$0.00,$0.00,,,,,,,,,,
650,01,08B,06,,,,,236500021,PURE RAW JUICE,YORK ROAD,TOWSON,21212-1510,07/17/2023,$246.00,$0.00,,,,,,,,,,
650,01,09B,09,,,,,146500261,KATANA SUSHI BALTIMORE,SOUTH MONTFORD AVENUE,BALTIMORE,21224-3643,12/16/2014,$175.00,$0.00,,,,,,,,,,
650,01,09B,10,,,,,196500033,NIHAO,BOSTON STREET,BALTIMORE,21224-3601,10/09/2019,$663.09,$123.27,,,,,,,,,,
650,01,09B,11,,,,,176500002,PENNY BLACK,THAMES STREET,BALTIMORE,21231,02/17/2017,$184.00,$0.00,,,,,,,,,,
650,01,09B,12,,,,,650778,THAMES STREET OYSTER,THAMES STREET,BALTIMORE,21231,04/18/2011,$556.67,$0.00,,,,,,,,,,
650,01,09B,13,,,,,156500195,TWIST FELLS POINT,SOUTH BROADWAY,BALTIMORE,21231-3407,06/22/2015,$241.13,$0.00,,,,,,,,,,
650,01,09B,14,,,,,650432,EL SALVADOR RESTAURANT,SOUTH BROADWAY,BALTIMORE,21231-2406,08/06/2007,$393.70,$0.00,,,,,,,,,,
650,01,09B,15,,,,,166500229,ANGIE'S SEAFOOD,EAST PRATT STREET,BALTIMORE,21231-1819,08/26/2016,$470.51,$0.00,,,,,,,,,,
650,01,10B,01,,,,,650938,GERMANO'S TRATTORIA,SOUTH HIGH STREET,BALTIMORE,21202-4333,10/15/2012,$0.00,$0.00,,,,,,,,,,
650,01,10B,02,,,,,236500028,NOONA'S PIZZA,WEST MOUNT ROYAL AVENUE,BALTIMORE,21217,11/16/2023,$264.50,$27.98,,,,,,,,,,
650,01,10B,03,,,,,196500020,AMICCIS,SOUTH HIGH STREET,BALTIMORE,21202-4454,08/15/2019,$715.00,$0.00,,,,,,,,,,
650,01,10B,04,,,,,65092620,LA TAVOLA,ALBEMARLE STREET,BALTIMORE,21202-4455,04/08/1997,$440.16,$90.77,,,,,,,,,,
650,01,10B,05,,,,,216500001,ASAHI SUSHI,SOUTH BROADWAY,BALTIMORE,21231,01/04/2021,$0.00,$0.00,,,,,,,,,,
650,01,10B,06,,,,,236500009,OVENBIRD BAKERY,"3925 GOUGH STREET, STE 2",BALTIMORE,21224,03/01/2023,$518.28,$164.00,,,,,,,,,,
650,01,10B,07,,,,,246500002,ATTMAN'S BALTIMORE,POINT STREET,BALTIMORE,21231,01/08/2024,$458.03,$94.70,,,,,,,,,,
650,01,11B,01,,,,,216500032,LITTLE DONNA'S ,BANK STREET,BALTIMORE,21231-2506,09/08/2021,$323.67,$0.00,,,,,,,,,,
650,01,11B,02,,,,,186500024,CHARMED KITCHEN,SOUTH CHESTER STREET,BALTIMORE,21231-2010,09/04/2018,$249.00,$0.00,,,,,,,,,,
650,01,11B,03,,,,,206500015,FRESH EXPRESS,NORTH WOLFE STREET,BALTIMORE,21205-2110,12/14/2020,$269.00,$0.00,,,,,,,,,,
650,01,11B,04,,,,,196500023,ROD DEE THAI,NORTH CHARLES STREET,BALTIMORE,21201,08/19/2019,$160.00,$0.00,,,,,,,,,,
650,01,11B,05,,,,,65093622,SOTTO SOPRA,NORTH CHARLES STREET,BALTIMORE,21201-0000,07/12/1999,$376.88,$0.00,,,,,,,,,,
650,01,11B,06,,,,,146500121,IGGIES RESTAURANT,NORTH CALVERT STREET,BALTIMORE,21202,08/13/2014,$0.00,$0.00,,,,,,,,,,
650,01,12B,01,,,,,176500020,CAFE FILI,CATHEDRAL STREET,BALTIMORE,21201,06/05/2017,$248.40,$0.00,,,,,,,,,,
650,01,12B,02,,,,,216500030,CENTRAL BAR ,NORTH HOWARD STREET,BALTIMORE,21201,08/27/2021,$0.00,$0.00,,,,,,,,,,
650,01,12B,03,,,,,196500012,THE TILTED ROW,MC MECHEN STREET,BALTIMORE,21217,04/09/2019,$547.87,$0.00,,,,,,,,,,
650,01,12B,04,,,,,6505398,ON THE HILL CAFE,JOHN STREET,BALTIMORE,21217,06/21/2005,$170.57,$0.00,,,,,,,,,,
650,01,12B,05,,,,,186500030,LE COMPTOIR DU VIN,MARYLAND AVENUE,BALTIMORE,21201,10/25/2018,$258.43,$30.58,,,,,,,,,,
650,01,12B,06,,,,,216500029,CHURCH BAR,MARYLAND AVE,BALTIMORE,21218,08/10/2021,$0.00,$0.00,,,,,,,,,,
650,01,12B,07,,,,,216500015,REMI'S ,W. 30TH STREET,BALTIMORE,21211,04/16/2021,$0.00,$0.00,,,,,,,,,,
650,01,12B,08,,,,,226500021,BALTIMORE UNITY HALL,EUTAW PLACE,BALTIMORE,21217,08/11/2022,$0.00,$0.00,,,,,,,,,,
650,01,12B,09,,,,,236500015,VIDA TACO BAR,WEST CAMDEN STREET,BALTIMORE,21201,04/24/2023,$88.00,$0.00,,,,,,,,,,
650,01,13B,01,,,,,196500014,ROOTS NATURAL KITCHEN,EAST MAIN STREET,NEWARK,19711,05/16/2019,$503.90,$0.00,,,,,,,,,,
650,01,13B,02,,,,,65040669,NEWARK COUNTRY CLUB,WEST MAIN STREET,NEWARK,19711-3218,04/12/2006,$175.26,$0.00,,,,,,,,,,
650,01,13B,03,,,,,650419,LA CUCINA RESTAURANT,NORTH WASHINGTON STREET,HAVRE DE GRACE,21078,05/16/2007,$386.66,$0.00,,,,,,,,,,
650,01,13B,04,,,,,226500025,FIESTA MAYA MEXICAN GRILL,PENCADER PLAZA,NEWARK,19711,09/21/2022,$261.27,$0.00,,,,,,,,,,
650,01,14B,01,,,,,166500206,TASTE OF TAJ,BELAIR ROAD,PERRY HALL ,21128,04/29/2016,$179.00,$0.00,,,,,,,,,,
650,01,14B,02,,,,,650721,FRIENDLY'S PERRY HALL,BELAIR ROAD,NOTTINGHAM,21236-1509,12/03/2010,$179.72,$88.22,,,,,,,,,,
650,01,14B,03,,,,,226500014,RAVAGE DELI,BELAIR ROAD,NOTTINGHAM,21236,07/11/2022,$240.00,$0.00,,,,,,,,,,
650,01,14B,04,,,,,196500015,EL SALTO - PERRY HALL,EBENEZER ROAD,PERRY HALL ,21236-2143,05/16/2019,$562.90,$37.77,,,,,,,,,,
650,01,14B,05,,,,,650890,YAMA SUSHI PERRY HALL,EBENEZER ROAD,NOTTINGHAM,21236-2143,05/04/2012,$190.00,$0.00,,,,,,,,,,
650,01,15B,01,,,,,196500021,VINCES CRAB HOUSE,FALLSTON ROAD,FALLSTON,21047-1442,08/23/2019,$293.59,$0.00,,,,,,,,,,
650,01,15B,02,,,,,156500333,TACOS TOLTECA,BELAIR ROAD,FALLSTON,21047,08/21/2015,$416.69,$93.42,,,,,,,,,,
650,01,15B,03,,,,,65023694,CHOPSTIX CAFE,HONEYGO CENTER DRIVE,PERRY HALL ,21128,09/21/2004,$245.00,$0.00,,,,,,,,,,
650,01,15B,04,,,,,166500243,EDORRITO ASIAN BISTRO,CAMPBELL BOULEVARD,NOTTINGHAM,21236,10/25/2016,$246.00,$0.00,,,,,,,,,,
650,01,15B,05,,,,,166500236,LEDO PIZZA OF WHITE MARSH,CAMPBELL BOULEVARD,NOTTINGHAM,21236-4914,09/26/2016,$545.52,$295.52,,,,,,,,,,
650,01,16B,01,,,,,226500017,PLAZA AZTECA,BEAR CORBITT ROAD,NEWARK,19702,07/11/2022,$1060.64,$0.00,,,,,,,,,,
650,01,16B,02,,,,,166500225,HIBACHI GRILL & SUPREME SUSHI BUFFET,KIRKWOOD HIGHWAY,WILMINGTON,19808,07/29/2016,$729.17,$0.00,,,,,,,,,,
650,01,16B,03,,,,,216500002,KUNGFU HOTPOT ,EAST MAIN STREET,NEWARK,19711,01/04/2021,$336.44,$0.00,,,,,,,,,,
650,01,16B,04,,,,,216500004,FREDDY'S WINGS AND WRAPS ,EAST MAIN STREET,NEWARK,19711-7309,01/11/2021,$220.00,$0.00,,,,,,,,,,
650,01,16B,05,,,,,236500023,MISSION BBQ - WILMINGTON,CONCORD PIKE,WILMINGTON,19803,07/17/2023,$550.04,$80.16,,,,,,,,,,
650,01,17B,11,,,,,65094609,LEE'S HUNAN,BEARDS HILL ROAD,ABERDEEN,21001,05/03/1990,$244.21,$0.00,,,,,,,,,,
650,01,17B,12,,,,,650820,LA TOLTECA ABERDEEN,HOSPITALITY WAY,ABERDEEN,21001-1779,08/25/2011,$666.69,$0.00,,,,,,,,,,
650,01,17B,13,,,,,6501052,LEE'S ASIAN BISTRO,HANDLIR DRIVE,BEL AIR,21015-6600,09/12/2013,$222.72,$12.72,,,,,,,,,,
650,01,17B,14,,,,,216500019,VENETIAN ITALIAN EATERY,TREE TOP DRIVE,EDGEWOOD,21040-1632,06/04/2021,$541.49,$20.83,,,,,,,,,,
650,01,17B,15,,,,,156500405,LA TOLTECA JOPPA,MOUNTAIN ROAD,EDGEWOOD,21085,12/03/2015,$519.23,$0.00,,,,,,,,,,
650,01,17B,16,,,,,176500019,ISLAND SPICE CUISINE,EMMORTON PARK ROAD,EDGEWOOD,21040-1066,05/24/2017,$612.02,$325.25,,,,,,,,,,
650,01,18B,01,,,,,650596,CHOPSTIX GOURMET FOREST HILL,ROCK SPRING ROAD,FOREST HILL,21050-2855,11/25/2009,$269.32,$0.00,,,,,,,,,,
650,01,18B,02,,,,,650827,LA TOLTECA BEL AIR,EAST CHURCHVILLE ROAD,BEL AIR,21015-1721,09/07/2011,$287.42,$0.00,,,,,,,,,,
650,01,18B,03,,,,,650740,ENOTRIA,NEWPORT DRIVE,FOREST HILL,21050-1642,01/19/2011,$397.35,$27.35,,,,,,,,,,
650,01,18B,04,,,,,176500029,ECHO FREZCO FOREST HILL,ROCK SPRING ROAD,FOREST HILL,21050,09/19/2017,$368.66,$9.22,,,,,,,,,,
650,01,18B,05,,,,,176500006,KIYOMI SUSHI,ROCK SPRING ROAD,BEL AIR,21014,03/03/2017,$195.00,$0.00,,,,,,,,,,
650,01,18B,06,,,,,216500043,LEDO PIZZA OF BELAIR,BALTIMORE PIKE,BEL AIR,21014,12/21/2021,$0.00,$0.00,,,,,,,,,,
650,01,18B,07,,,,,650996,LEMON N' GINGER,MERCHANT BOULEVARD,ABINGDON,21009,03/29/2013,$347.62,$0.00,,,,,,,,,,
650,01,19B,01,,,,,156500439,RAINBOW KING,BALTIMORE PIKE,BEL AIR,21014,12/21/2015,$239.26,$0.00,,,,,,,,,,
650,01,19B,02,,,,,650657,FRIENDLY'S HARFORD MALL,BELAIR ROAD,BEL AIR,21014,06/07/2010,$115.31,$43.99,,,,,,,,,,
650,01,19B,03,,,,,6501086,INDIA GARDEN,BEL AIR SOUTH PARKWAY,BEL AIR,21015,03/31/2014,$149.00,$0.00,,,,,,,,,,
650,01,19B,04,,,,,65065391,CHINA WOK,HONEYGO BOULEVARD,NOTTINGHAM,21236,06/15/2004,$181.00,$0.00,,,,,,,,,,
650,01,19B,05,,,,,236500011,LATITUDE SEAFOOD,BEL AIR SOUTH PARKWAY,BEL AIR,21015-6094,03/06/2023,$1663.43,$674.43,,,,,,,,,,
650,01,19B,06,,,,,246500003,AKIRA RAMEN BEL AIR,NORTH TOLLGATE ROAD,BEL AIR,21014,01/09/2024,$92.24,$0.00,,,,,,,,,,
650,02,01B,01,,,,,650585,KATANA SUSHI MT. AIRY,SOUTH MAIN STREET,MT AIRY,21771-5330,10/21/2009,$210.00,$0.00,,,,,,,,,,
650,02,01B,02,,,,,146500095,OLDE TOWN RESTAURANT,SOUTH MAIN STREET,MT AIRY,21771,07/23/2014,$185.73,$0.00,,,,,,,,,,
650,02,01B,03,,,,,650729,MAMMA ANGELA,RIDGESIDE COURT,MT AIRY,21771,11/23/2010,$100.07,$0.00,,,,,,,,,,
650,02,01B,04,,,,,650968,LEDO PIZZA OF MT. AIRY,EAST RIDGEVILLE BOULEVARD,MT AIRY,21771-5252,01/17/2013,$175.00,$0.00,,,,,,,,,,
650,02,01B,05,,,,,176500034,IHOP CATONSVILLE,BALTIMORE NATIONAL PIKE,CATONSVILLE,21228-1553,12/22/2017,$180.60,$90.30,,,,,,,,,,
650,02,01B,06,,,,,236500022,LOS AZTECAS II,RIDGESIDE DRIVE,MT AIRY,21771-5240,07/19/2023,$523.73,$0.00,,,,,,,,,,
650,02,02B,01,,,,,216500006,PHO 5UP,SCAGGSVILLE ROAD,LAUREL,20723,02/03/2021,$237.32,$0.00,,,,,,,,,,
